Timestamp,System_Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Command
17043.8047005,1689476979,1282454.0,-1307726.0,1073641.0,394749.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.810383125,1689476979,1312774.0,-1309097.0,1087365.0,400577.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.810671541,1689476979,1318319.0,-1309747.0,1087598.0,400246.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.816537,1689476979,1290209.0,-1308655.0,1075113.0,395036.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.816752666,1689476979,1285468.0,-1306312.0,1076884.0,396961.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.832541333,1689476979,1283405.0,-1308274.0,1074814.0,395013.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.83302475,1689476979,1317677.0,-1309678.0,1087468.0,400304.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.842092125,1689476979,1295131.0,-1307005.0,1081363.0,398542.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.850422416,1689476979,1317809.0,-1308642.0,1089079.0,401453.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.850672166,1689476979,1307579.0,-1309644.0,1081893.0,397644.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.866914333,1689476979,1284916.0,-1307578.0,1074209.0,395179.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.882972833,1689476979,1291000.0,-1306691.0,1079741.0,398043.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.910782583,1689476980,1315552.0,-1308732.0,1088763.0,401270.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.918339708,1689476980,1311221.0,-1311060.0,1083374.0,397424.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.918730208,1689476980,1286678.0,-1309526.0,1073697.0,393714.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.924242375,1689476980,1286632.0,-1307451.0,1077198.0,396478.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.924509333,1689476980,1311686.0,-1308131.0,1087641.0,401133.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.930459958,1689476980,1314552.0,-1310146.0,1085533.0,399300.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.930929333,1689476980,1290156.0,-1309627.0,1075169.0,394853.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.941028291,1689476980,1283422.0,-1307821.0,1075698.0,395938.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.941406666,1689476980,1306791.0,-1308009.0,1086146.0,400649.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.947274416,1689476980,1316803.0,-1309647.0,1087128.0,400239.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.947830291,1689476980,1294904.0,-1308746.0,1077286.0,396051.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.953547208,1689476980,1282925.0,-1306825.0,1075434.0,396143.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.953883666,1689476980,1303476.0,-1306407.0,1085702.0,401124.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.96603025,1689476980,1318820.0,-1308244.0,1089545.0,402002.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.966513333,1689476980,1299369.0,-1308347.0,1079706.0,397271.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.974486041,1689476980,1283621.0,-1306881.0,1076354.0,396050.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.981519916,1689476980,1298092.0,-1306998.0,1083232.0,399391.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.98195775,1689476980,1318161.0,-1308890.0,1089196.0,401199.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.987566541,1689476980,1303530.0,-1309944.0,1080440.0,396453.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.988093333,1689476980,1299857.0,-1308656.0,1079393.0,396208.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.993746541,1689476980,1293879.0,-1306879.0,1081467.0,398578.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.994002833,1689476980,1316413.0,-1309139.0,1087716.0,400480.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.00956475,1689476980,1301486.0,-1306742.0,1084537.0,399414.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.018619166,1689476980,1287150.0,-1306459.0,1078690.0,397556.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.024151125,1689476980,1289096.0,-1307564.0,1079053.0,397338.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.024544375,1689476980,1294091.0,-1310364.0,1076473.0,394139.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.030283083,1689476980,1311909.0,-1310138.0,1084614.0,398801.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.030667666,1689476980,1305986.0,-1307920.0,1086176.0,400123.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.046724708,1689476980,1282294.0,-1306926.0,1074716.0,395051.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.047099958,1689476980,1297263.0,-1306244.0,1083446.0,399427.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.07823375,1689476980,1318100.0,-1307775.0,1090079.0,401919.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17044.078521291,1689476980,1304676.0,-1308413.0,1081836.0,397700.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
